code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason
300731.SZ,2023-07-03,2023-07-07,20.3,19.69,1500,-981.453749999999,-3.0049261083743817,第5天未盈利 (-3.0%)
603081.SH,2023-07-04,2023-07-07,17.14,16.47,2100,-1484.8207500000037,-3.908984830805144,调仓换股
603076.SH,2023-07-06,2023-07-07,46.05,45.5,900,-587.1374999999975,-1.1943539630835986,调仓换股
002553.SZ,2023-07-07,2023-07-10,14.72,14.38,1200,-447.51199999999983,-2.309782608695651,调仓换股
601865.SH,2023-07-07,2023-07-10,35.94,36.9,1100,964.6725000000008,2.6711185308848107,调仓换股
688393.SH,2023-07-10,2023-07-11,26.03,25.43,800,-525.7740000000011,-2.305032654629279,调仓换股
688448.SH,2023-07-07,2023-07-12,32.04,31.26,1100,-935.3684999999973,-2.434456928838944,调仓换股
002387.SZ,2023-07-10,2023-07-12,8.42,8.2,4800,-1144.560000000003,-2.6128266033254235,调仓换股
603767.SH,2023-07-11,2023-07-12,12.85,13.66,1800,1402.677000000001,6.303501945525296,调仓换股
600835.SH,2023-07-11,2023-07-12,15.27,15.02,2300,-652.7285,-1.6371971185330716,调仓换股
600482.SH,2023-07-11,2023-07-13,22.14,22.35,1400,223.59750000000122,0.9485094850948548,调仓换股
600592.SH,2023-07-12,2023-07-13,9.97,10.0,3900,29.2499999999975,0.3009027081243667,调仓换股
603767.SH,2023-07-13,2023-07-14,12.61,13.16,1700,884.6630000000014,4.361617763679625,调仓换股
688448.SH,2023-07-13,2023-07-14,31.18,31.61,1000,358.8774999999997,1.379089159717767,调仓换股
300228.SZ,2023-07-13,2023-07-14,6.26,6.32,7600,347.9280000000038,0.9584664536741293,调仓换股
002031.SZ,2023-07-12,2023-07-17,3.99,4.02,6500,136.20749999999586,0.7518796992481042,调仓换股
300490.SZ,2023-07-14,2023-07-17,16.5,16.33,1900,-392.8107500000032,-1.0303030303030405,调仓换股
600862.SH,2023-07-14,2023-07-17,24.29,24.23,2200,-251.93849999999722,-0.24701523260600547,调仓换股
002698.SZ,2023-07-17,2023-07-18,18.1,18.08,2500,-151.7000000000078,-0.11049723756907805,调仓换股
920663.BJ,2023-07-13,2023-07-19,14.74,13.55,1200,-1465.5199999999993,-8.073270013568518,第5天未盈利 (-8.1%)
300254.SZ,2023-07-14,2023-07-19,7.41,7.32,5000,-532.3499999999993,-1.2145748987854232,调仓换股
920663.BJ,2023-07-19,2023-07-20,13.55,13.13,1400,-629.7639999999998,-3.0996309963099624,调仓换股
300669.SZ,2023-07-20,2023-07-21,15.21,15.2,2800,-123.76000000000438,-0.0657462195923837,调仓换股
300489.SZ,2023-07-18,2023-07-24,23.07,22.09,1100,-1132.6727500000004,-4.247941048981363,第5天未盈利 (-4.2%)
002428.SZ,2023-07-19,2023-07-24,14.63,14.12,1800,-975.186000000003,-3.485987696514023,调仓换股
002976.SZ,2023-07-21,2023-07-25,31.77,32.73,800,709.0859999999979,3.0217186024551377,调仓换股
300342.SZ,2023-07-24,2023-07-26,12.0,11.36,2300,-1530.7880000000011,-5.3333333333333375,调仓换股
301186.SZ,2023-07-25,2023-07-27,39.36,37.49,600,-1172.6114999999982,-4.751016260162595,调仓换股
300128.SZ,2023-07-25,2023-07-27,4.89,4.82,4100,-331.5239999999975,-1.431492842535775,调仓换股
002590.SZ,2023-07-25,2023-07-27,11.85,11.62,1900,-486.67550000000074,-1.9409282700421977,调仓换股
002893.SZ,2023-07-24,2023-07-28,13.38,12.62,1800,-1419.1110000000026,-5.680119581464884,第5天未盈利 (-5.7%)
300619.SZ,2023-07-27,2023-07-28,63.96,64.78,900,606.8205000000002,1.2820512820512826,调仓换股
603767.SH,2023-07-27,2023-07-28,12.3,12.04,1200,-345.89600000000183,-2.113821138211395,调仓换股
601231.SH,2023-07-28,2023-07-31,14.84,14.45,2800,-1183.0350000000017,-2.628032345013481,调仓换股
605589.SH,2023-07-26,2023-08-01,24.32,23.27,1300,-1433.064750000001,-4.317434210526319,第5天未盈利 (-4.3%)
002893.SZ,2023-07-28,2023-08-01,12.62,13.35,1900,1329.928750000001,5.784469096671953,调仓换股
603099.SH,2023-07-27,2023-08-02,13.78,13.49,2200,-704.7754999999981,-2.104499274310589,第5天未盈利 (-2.1%)
688333.SH,2023-07-28,2023-08-02,120.96,121.88,200,129.15400000000034,0.760582010582012,调仓换股
603699.SH,2023-07-31,2023-08-02,14.81,14.93,2500,216.01874999999808,0.8102633355840595,调仓换股
605589.SH,2023-08-01,2023-08-02,23.27,23.32,1300,-3.210999999999075,0.21486892995273188,调仓换股
002316.SZ,2023-08-02,2023-08-03,5.45,5.64,3200,566.9039999999984,3.4862385321100824,调仓换股
301345.SZ,2023-08-02,2023-08-03,49.37,49.45,800,-25.009999999995685,0.16204172574439013,调仓换股
603099.SH,2023-08-02,2023-08-04,13.49,13.52,2400,-1.0080000000015374,0.22238695329873506,调仓换股
300899.SZ,2023-08-03,2023-08-04,24.29,24.29,1400,-76.5135,0.0,调仓换股
300506.SZ,2023-08-03,2023-08-04,6.47,6.55,4800,313.26000000000033,1.2364760432766626,调仓换股
603429.SH,2023-08-01,2023-08-07,10.24,10.21,5100,-270.15974999999673,-0.2929687499999938,第5天未盈利 (-0.3%)
688190.SH,2023-08-02,2023-08-07,77.58,77.81,500,27.463750000001994,0.2964681618974014,调仓换股
002899.SZ,2023-08-04,2023-08-08,15.23,15.21,3400,-184.35649999999856,-0.13131976362442266,调仓换股
603429.SH,2023-08-07,2023-08-08,10.21,10.36,5600,709.4639999999921,1.4691478942213376,调仓换股
300746.SZ,2023-08-07,2023-08-08,11.03,11.11,1900,104.50475000000012,0.7252946509519499,调仓换股
