date,equity,cash,positions,drawdown,returns
2024-01-04,1011509.3280000004,910137.3280000004,5,-0.03921342932392243,-0.0010749026218477287
2024-01-05,1008914.3280000004,910137.3280000004,5,-0.041678301453015064,-0.0025654731282913623
2024-01-08,1006688.3280000004,910137.3280000004,5,-0.04379267731404019,-0.0022063320325845792
2024-01-09,1006724.3280000004,910137.3280000004,5,-0.04375848255617995,3.576081990686042e-05
2024-01-10,1004865.3280000004,910137.3280000004,5,-0.04552426185790758,-0.0018465829704276127
2024-01-11,1006733.3280000004,910137.3280000004,5,-0.043749933866714885,0.0018589555714076944
2024-01-12,1004901.8120000004,910137.3280000004,4,-0.04548960737052505,-0.0018192662833945716
2024-01-15,1004706.8120000004,928852.8120000004,4,-0.04567482897560138,-0.0001940488092183612
2024-01-16,1003968.1875000003,911569.5560000003,3,-0.04637641469579986,-0.0007351642202263475
2024-01-17,1003027.5725000004,933030.5725000004,3,-0.04726986197815302,-0.0009368972161779565
2024-01-18,1002139.5725000004,933030.5725000004,3,-0.04811333267203906,-0.0008853196306325417
2024-01-19,999870.8515000003,917841.4035000004,3,-0.050268287262246074,-0.002263877270448744
2024-01-22,996590.4725000003,930148.3445000002,3,-0.05338416963988035,-0.0032808027107489313
2024-01-23,996121.0965000002,944546.0965000002,3,-0.05383000849169735,-0.0004709818254859943
2024-01-24,997671.0965000002,944546.0965000002,3,-0.05235773419493681,0.0015560357123707291
2024-01-25,999953.8477500002,913018.8477500002,5,-0.0501894529102446,0.002288079967444512
2024-01-26,1000613.0527500001,879491.0527500001,5,-0.049563304150376235,0.0006592354251981902
2024-01-29,996325.0527500001,879491.0527500001,5,-0.053636279753285374,-0.004285372840395429
2024-01-30,991952.0527500001,879491.0527500001,5,-0.05778999297892009,-0.004389129820563942
2024-01-31,989259.0527500001,879491.0527500001,5,-0.06034795083774339,-0.002714848961231753
2024-02-01,988117.6827500002,879491.0527500001,4,-0.061432086137158594,-0.0011537625021749154
2024-02-02,985790.8707500001,890648.6827500002,3,-0.06364221871844505,-0.0023547923902387247
2024-02-05,981063.7125,876600.96675,3,-0.06813233071082869,-0.004795295219566786
2024-02-06,983410.0545,908282.0545,3,-0.06590364747340313,0.0023916306047249147
2024-02-07,987177.0545,908282.0545,3,-0.062325546005082534,0.003830548592382632
2024-02-08,986767.7095,890931.7265,3,-0.06271436414831312,-0.00041466219067187726
2024-02-19,987879.7095,943265.7095,3,-0.06165812607218556,0.0011269116219494446
2024-02-20,988430.9970000001,883420.9970000001,5,-0.06113448322291103,0.0005580512431813123
2024-02-21,989229.6207500001,822243.6207500001,5,-0.06037590695200294,0.0008079711709001458
2024-02-22,993659.4167500001,822243.6207500001,5,-0.0561682457967174,0.004478026038728489
2024-02-23,991511.3775500001,825334.4167500001,5,-0.05820857025000389,-0.0021617459300347086
2024-02-26,988862.8975500001,830239.1775500001,5,-0.06072424059160667,-0.002671154421388766
2024-02-27,990106.3256300002,830239.1775500001,5,-0.059543164977377994,0.0012574322315872521
2024-02-28,989269.5056300001,831717.1656300002,5,-0.060338022123839444,-0.000845181955046681
2024-02-29,990377.0930200001,810473.6443800002,5,-0.05928597538466971,0.0011196012650716014
2024-03-01,989698.0930200001,789456.0930200001,5,-0.059930926512089325,-0.0006855974403946474
2024-03-04,990360.0930200001,789456.0930200001,5,-0.05930212290921483,0.0006688908513301506
2024-03-05,991539.0930200001,789456.0930200001,5,-0.05818224458929181,0.0011904760786602964
2024-03-06,990434.7130200001,772934.5930200001,5,-0.059231244775005625,-0.001113803790263379
2024-03-07,989787.7080200001,770307.7080200001,5,-0.05984580531137695,-0.0006532535577505882
2024-03-08,991642.2487700001,739821.6480200001,5,-0.05808426164781573,0.0018736752689219038
2024-03-11,991223.18877,784898.18877,5,-0.05848230762639673,-0.00042259191812354935
2024-03-12,986942.3360199999,769938.24877,5,-0.06254849438255271,-0.004318757670825013
2024-03-13,986520.20502,784590.39302,5,-0.06294945736394994,-0.00042771597143376194
